Region_Code,Region,Area_Code,Area,Electorate,Turnout,Valid_Votes,Leave
E12000008,South East,E07000007,Wycombe,125260,0.7574,94790,0.4803
E12000008,South East,E07000061,Eastbourne,71726,0.7473,53545,0.5733
E12000008,South East,E07000062,Hastings,61957,0.7164,44350,0.5488
E12000008,South East,E07000063,Lewes,76428,0.7789,59482,0.4793
E12000008,South East,E07000064,Rother,72755,0.7933,57669,0.5853
E12000008,South East,E07000065,Wealden,121141,0.8003,96892,0.545
E12000008,South East,E07000084,Basingstoke and Deane,128677,0.7802,100328,0.519
E12000008,South East,E07000085,East Hampshire,90588,0.8165,73922,0.4948
E12000008,South East,E07000086,Eastleigh,97280,0.7828,76074,0.5245
E12000008,South East,E07000087,Fareham,90175,0.7959,71735,0.551
E12000008,South East,E07000088,Gosport,62781,0.7351,46127,0.6386
E12000008,South East,E07000089,Hart,69946,0.8267,57795,0.476
E12000008,South East,E07000090,Havant,95366,0.741,70629,0.6236
E12000008,South East,E07000091,New Forest,141061,0.7925,111740,0.5776
E12000008,South East,E07000092,Rushmoor,65790,0.7418,48780,0.5821
E12000008,South East,E07000093,Test Valley,94559,0.7965,75261,0.5194
E12000008,South East,E07000094,Winchester,89595,0.8126,72764,0.4107
E12000008,South East,E07000105,Ashford,90516,0.7714,69786,0.5943
E12000008,South East,E07000106,Canterbury,109399,0.7505,82048,0.5104
E12000008,South East,E07000107,Dartford,73951,0.7557,55855,0.6422
E12000008,South East,E07000108,Dover,85011,0.7653,65016,0.6215
E12000008,South East,E07000109,Gravesham,72808,0.7493,54519,0.6538
E12000008,South East,E07000110,Maidstone,117298,0.7602,89127,0.5875
E12000008,South East,E07000111,Sevenoaks,87253,0.8068,70349,0.5438
E12000008,South East,E07000112,Shepway,80879,0.75,60613,0.6225
E12000008,South East,E07000113,Swale,102209,0.7427,75869,0.6246
E12000008,South East,E07000114,Thanet,99108,0.728,72102,0.6385
E12000008,South East,E07000115,Tonbridge and Malling,93019,0.7962,74021,0.557
E12000008,South East,E07000116,Tunbridge Wells,82181,0.7914,64996,0.4511
E12000008,South East,E07000177,Cherwell,108342,0.756,81836,0.5031
E12000008,South East,E07000178,Oxford,97331,0.7234,70337,0.2973
E12000008,South East,E07000179,South Oxfordshire,104231,0.8075,84110,0.4502
E12000008,South East,E07000180,Vale of White Horse,94487,0.8118,76654,0.433
E12000008,South East,E07000181,West Oxfordshire,82441,0.7972,65671,0.4634
E12000008,South East,E07000207,Elmbridge,98613,0.7814,77003,0.4047
E12000008,South East,E07000208,Epsom and Ewell,56382,0.8042,45303,0.4792
E12000008,South East,E07000209,Guildford,102209,0.7696,78613,0.4383
E12000008,South East,E07000210,Mole Valley,66730,0.8217,54796,0.4692
E12000008,South East,E07000211,Reigate and Banstead,103731,0.7828,81161,0.5049
E12000008,South East,E07000212,Runnymede,58272,0.7607,44294,0.5426
E12000008,South East,E07000213,Spelthorne,72674,0.7793,56609,0.603
E12000008,South East,E07000214,Surrey Heath,65569,0.7981,52305,0.5098
E12000008,South East,E07000215,Tandridge,64044,0.8036,51420,0.5284
E12000008,South East,E07000216,Waverley,92291,0.8235,75942,0.4161
E12000008,South East,E07000217,Woking,71313,0.7749,55221,0.4385
E12000008,South East,E07000223,Adur,48755,0.764,37229,0.5457
E12000008,South East,E07000224,Arun,117138,0.7786,91129,0.6248
