id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1207,Elvas,24981,24474,39.587,38.784,19.16,14.93,49.44,16.48,48.93,51.07,49.09,50.91,-507,-2.03,35.52,2.52,59.48,29.42,18.24,52.34,16.24,19.13,64.63,51.01,33.03,7.49,8.468,20.08,25.85,6.50,7.82,1544,1819,6144,4915,6327,1592,1914
1208,Fronteira,4452,4122,18.156,16.811,16.76,12.83,48.08,22.32,47.98,52.02,47.77,52.23,-330,-7.41,32.42,5.99,76.11,52.01,15.40,32.59,36.50,15.72,47.78,60.73,28.11,3.66,7.490,25.08,26.06,7.40,5.14,518,223,678,1034,1074,305,212
1209,Gaviao,6850,5920,23.335,20.167,11.13,11.37,45.30,32.20,48.69,51.31,48.06,51.94,-930,-13.58,26.53,3.56,82.94,41.73,21.98,36.28,28.87,24.76,46.37,64.48,25.48,3.79,6.260,30.90,25.95,5.35,3.97,457,392,734,1829,1536,317,235
1210,Marvao,5418,4419,34.99,28.538,13.26,12.15,47.14,27.45,48.5,51.5,48.34,51.66,-999,-18.44,26.24,1.81,67.50,38.57,32.36,29.08,26.17,28.94,44.89,60.16,30.90,3.03,5.905,27.18,26.84,11.11,4.39,369,408,633,1201,1186,491,194
1211,Monforte,4281,3759,10.201,8.957,15.62,13.25,47.03,24.10,46.55,53.45,45.52,54.48,-522,-12.19,32.07,3.96,82.55,55.81,15.82,28.37,38.05,13.41,48.55,64.79,25.23,3.51,6.469,33.92,20.56,7.42,3.56,471,166,601,1275,773,279,134
1212,Nisa,10734,9864,18.702,17.187,11.80,10.57,45.46,32.17,47.16,52.84,47.86,52.14,-870,-8.11,29.66,1.42,72.14,36.13,29.34,34.53,19.53,29.30,51.17,61.04,29.43,4.10,5.432,27.55,28.07,4.62,3.96,592,888,1551,2718,2769,456,391
1213,Ponte de Sor,18079,17802,21.509,21.179,17.56,12.86,50.03,19.54,48.78,51.22,48.29,51.71,-277,-1.53,32.28,4.63,76.33,39.55,26.36,34.10,25.17,29.91,44.91,59.70,28.80,4.12,7.378,25.82,26.30,6.39,3.93,1620,1925,2890,4596,4682,1138,700
1214,Portalegre,27313,26111,61.207,58.513,17.63,14.27,50.81,17.29,48.65,51.35,13.83,86.17,-1202,-4.40,38.24,2.79,70.23,19.28,32.53,48.19,10.35,27.58,62.06,50.04,33.40,8.92,7.639,18.56,26.41,5.38,8.48,1089,2901,6527,4847,6895,1405,2214
1215,Sousel,7259,6150,26.023,22.048,15.01,13.07,49.01,22.91,48.06,51.94,47.41,52.59,-1109,-15.28,33.10,5.28,72.31,60.31,12.34,27.35,40.24,18.71,41.04,63.66,26.48,3.14,6.723,28.59,26.31,5.11,4.24,856,398,873,1758,1618,314,261
1301,Amarante,54159,56092,180.982,187.442,25.06,19.23,45.25,10.46,48.76,51.24,48.88,51.12,1933,3.57,32.61,2.21,51.90,31.62,43.42,24.97,13.49,53.27,33.25,52.83,32.75,2.65,11.766,20.78,32.12,8.00,3.18,2782,10989,6859,11657,18015,4485,1785
